Simple,ROS,RUS,Smote,Bag,ROSBag,RUSBag,SmoteBag,Boost,ROSBoost,RUSBoost,SmoteBoost
0.4286,0.45,0.4651,0.5,0.4286,0.5116,0.4878,0.5217,0.4375,0.5263,0.4737,0.4444
0.3704,0.5366,0.4,0.4,0.32,0.5,0.4,0.3784,0.375,0.4286,0.4,0.4737
0.4615,0.36,0.4737,0.3404,0.3704,0.3478,0.4,0.3265,0.4375,0.3333,0.3889,0.4082
0.4286,0.5,0.45,0.4681,0.3571,0.4651,0.5116,0.4783,0.4242,0.3721,0.4091,0.5238
0.4444,0.5238,0.5946,0.5238,0.4444,0.5366,0.5581,0.5366,0.4828,0.5581,0.5455,0.4762
0.24,0.45,0.5,0.4706,0.3704,0.4737,0.4615,0.4737,0.3571,0.3684,0.4444,0.4324
0.4667,0.5957,0.6222,0.5957,0.4667,0.5909,0.6522,0.625,0.4516,0.6522,0.7556,0.52
0.4516,0.5116,0.4545,0.4651,0.4516,0.4762,0.4762,0.45,0.4516,0.4651,0.4255,0.5
0.32,0.5385,0.619,0.6,0.32,0.6087,0.6,0.6222,0.5333,0.4651,0.4242,0.4545
0.3077,0.6047,0.5455,0.5909,0.2308,0.619,0.6341,0.619,0.4242,0.5714,0.5854,0.6047
0.4286,0.65,0.6977,0.6154,0.3333,0.6667,0.5405,0.6,0.6061,0.5714,0.55,0.5556
0.3571,0.6364,0.5909,0.6364,0.3571,0.6667,0.6512,0.6512,0.5161,0.5417,0.6818,0.5
0.2963,0.2667,0.3415,0.3404,0.16,0.3111,0.381,0.3404,0.2581,0.3043,0.3256,0.3636
0.2857,0.5,0.4103,0.4762,0.2857,0.4878,0.5238,0.4762,0.3125,0.5,0.4878,0.4878
0.4,0.5833,0.619,0.5333,0.1818,0.5833,0.5652,0.5532,0.5625,0.5238,0.5581,0.5714
0.3478,0.6,0.5405,0.5,0.4167,0.5294,0.4667,0.5556,0.4828,0.5455,0.5294,0.4242
0.5185,0.6222,0.6364,0.6364,0.4167,0.6512,0.7273,0.6364,0.7273,0.6383,0.6667,0.5957
0.2857,0.4348,0.3913,0.4762,0.2667,0.4348,0.4783,0.4545,0.3429,0.3556,0.4255,0.3478
0.4444,0.5238,0.5217,0.5789,0.2727,0.5238,0.5641,0.5641,0.4516,0.5641,0.5556,0.6
0.3846,0.4865,0.5,0.5238,0.3704,0.4103,0.4737,0.5641,0.3571,0.5106,0.4615,0.5532
0.5455,0.5366,0.6,0.65,0.4516,0.6364,0.5581,0.5909,0.6486,0.5652,0.5,0.5306
0.2857,0.4706,0.4545,0.4082,0.1538,0.4681,0.4681,0.4681,0.2759,0.439,0.4103,0.4103
0.5185,0.5833,0.6222,0.5833,0.4828,0.5652,0.6047,0.5652,0.6471,0.6364,0.619,0.5641
0.3478,0.5946,0.5455,0.6111,0.2727,0.5882,0.5455,0.6111,0.48,0.5294,0.4571,0.4571
0.2857,0.4651,0.3478,0.3182,0.2857,0.3333,0.4091,0.3256,0.4848,0.3333,0.4,0.4444
0.4167,0.6667,0.5854,0.6667,0.3478,0.6383,0.6222,0.6383,0.5161,0.6222,0.6154,0.5778
0.4828,0.5366,0.5128,0.4762,0.4138,0.5714,0.4878,0.4762,0.4375,0.5,0.55,0.4878
0.2727,0.5143,0.5405,0.5556,0.4,0.5143,0.5946,0.5405,0.5185,0.5556,0.5405,0.3871
0.3846,0.5854,0.5854,0.6047,0.3846,0.619,0.6,0.6047,0.3704,0.619,0.619,0.5263
0.5,0.5909,0.5833,0.5854,0.4667,0.6667,0.6047,0.619,0.5455,0.619,0.6364,0.6486
0.3448,0.5385,0.6222,0.52,0.3448,0.566,0.6122,0.5385,0.375,0.6087,0.5909,0.4865
0.5,0.5238,0.5366,0.5581,0.4615,0.5854,0.5,0.5854,0.6,0.5714,0.55,0.5366
0.3846,0.4865,0.4706,0.4324,0.3846,0.4706,0.4242,0.4324,0.3571,0.5263,0.375,0.5143
0.4,0.4444,0.45,0.4091,0.3846,0.4091,0.4651,0.4091,0.5185,0.4615,0.4186,0.439
0.4667,0.5217,0.52,0.5306,0.4667,0.6512,0.5366,0.5306,0.5946,0.6667,0.5833,0.6383
0.5806,0.619,0.549,0.6341,0.5517,0.6341,0.6047,0.6047,0.6857,0.6341,0.5854,0.6364
0.4286,0.55,0.5333,0.5909,0.1739,0.5909,0.5455,0.6222,0.5161,0.4865,0.5854,0.5581
0.4444,0.5946,0.5128,0.5714,0.32,0.6512,0.5128,0.5946,0.4138,0.5405,0.5641,0.5556
0.25,0.4545,0.4762,0.4783,0.0909,0.381,0.4651,0.4545,0.4286,0.3333,0.3556,0.3415
0.3077,0.5909,0.6316,0.6341,0.2963,0.65,0.6486,0.6341,0.6286,0.4737,0.4571,0.5294
0.5,0.5652,0.5238,0.5581,0.3478,0.5455,0.4889,0.619,0.5806,0.4878,0.4878,0.4889
0.3333,0.4878,0.4865,0.4615,0.2609,0.45,0.4324,0.4615,0.5161,0.4186,0.5,0.5128
0.4138,0.4762,0.5128,0.4889,0.3846,0.4651,0.4545,0.4889,0.3871,0.4211,0.4545,0.4545
0.5625,0.56,0.5957,0.5957,0.5161,0.5532,0.5532,0.5833,0.5714,0.5306,0.5217,0.5532
0.3333,0.6047,0.619,0.55,0.2727,0.5238,0.6154,0.5366,0.5517,0.5641,0.6111,0.5641
0.4828,0.5532,0.5652,0.5306,0.3077,0.5106,0.5455,0.5217,0.4848,0.4103,0.5366,0.5581
0.2857,0.6,0.619,0.6341,0.2857,0.6,0.5789,0.619,0.4242,0.5789,0.5366,0.5789
0.5185,0.5946,0.5789,0.5,0.4615,0.4444,0.5714,0.4865,0.4667,0.4615,0.4324,0.4737
0.48,0.65,0.6667,0.6842,0.4167,0.6842,0.6316,0.6486,0.48,0.5652,0.55,0.6667
0.2222,0.4,0.4082,0.4,0.2222,0.4348,0.4286,0.4348,0.3333,0.4167,0.4762,0.4348
0.4286,0.5854,0.5652,0.65,0.4828,0.6341,0.65,0.6341,0.4828,0.6667,0.5957,0.6154
0.4138,0.5769,0.6531,0.5,0.4138,0.5652,0.6275,0.52,0.5946,0.5,0.6047,0.4906
0.4444,0.6316,0.5238,0.5641,0.6,0.5641,0.5641,0.55,0.5517,0.5263,0.4737,0.6286
0.5,0.5263,0.5143,0.5455,0.4444,0.5366,0.5556,0.5714,0.4828,0.5333,0.5581,0.5714
0.3448,0.5417,0.5333,0.4681,0.3448,0.5417,0.5106,0.4545,0.5143,0.5778,0.4444,0.5217
0.4,0.5581,0.55,0.5,0.3333,0.5909,0.6,0.5,0.4667,0.45,0.5366,0.5116
0.3846,0.5714,0.6061,0.6486,0.4,0.6,0.5714,0.6111,0.5625,0.5652,0.5789,0.5789
0.25,0.4103,0.4444,0.4878,0.32,0.4211,0.4706,0.4865,0.2963,0.4706,0.375,0.5294
0.3571,0.4286,0.439,0.5217,0.3846,0.4762,0.5238,0.5,0.4706,0.439,0.4651,0.4286
0.5333,0.4889,0.5455,0.5333,0.4828,0.5455,0.4762,0.5652,0.5,0.55,0.4151,0.5116
0.4138,0.5652,0.5238,0.6087,0.2609,0.5909,0.6222,0.6364,0.5455,0.5116,0.5581,0.6047
0.4615,0.55,0.5641,0.5455,0.4615,0.5714,0.5641,0.5714,0.5455,0.5,0.5238,0.5116
0.5,0.5789,0.5238,0.6047,0.4444,0.65,0.6154,0.6667,0.5333,0.5366,0.5366,0.5581
0.3478,0.6809,0.65,0.64,0.7333,0.6512,0.6977,0.6222,0.6207,0.5217,0.6522,0.5833
0.2963,0.4783,0.45,0.5,0.1739,0.4545,0.4878,0.4545,0.2857,0.4681,0.4286,0.4651
0.4286,0.5641,0.6111,0.5405,0.3704,0.5714,0.5556,0.5405,0.5161,0.5294,0.5556,0.5143
0.4571,0.5455,0.625,0.5091,0.3448,0.549,0.5833,0.5091,0.5854,0.549,0.5532,0.5306
0.3333,0.4444,0.4286,0.4737,0.3333,0.4737,0.45,0.4615,0.3448,0.439,0.4324,0.4762
0.24,0.4889,0.439,0.45,0.25,0.4615,0.45,0.4324,0.2857,0.2703,0.2857,0.4286
0.16,0.439,0.3902,0.439,0.1667,0.4762,0.3243,0.439,0.4848,0.5581,0.4651,0.5238
0.3846,0.5263,0.5294,0.5405,0.4167,0.5263,0.5405,0.5263,0.4,0.5556,0.5641,0.4865
0.2727,0.5455,0.4865,0.5789,0.2727,0.5,0.4103,0.5641,0.5,0.5,0.5238,0.4762
0.4242,0.5532,0.5778,0.5217,0.4242,0.5333,0.6087,0.5217,0.4737,0.5652,0.5,0.5652
0.5385,0.6,0.5455,0.5581,0.48,0.5854,0.6316,0.5714,0.6061,0.5455,0.6486,0.5714
0.5294,0.5957,0.6383,0.52,0.2963,0.5833,0.6122,0.5417,0.6667,0.5833,0.5455,0.5385
0.24,0.5366,0.5116,0.4865,0.2963,0.5,0.4762,0.4737,0.3571,0.439,0.5333,0.4762
0.5,0.6047,0.6364,0.6522,0.6061,0.6667,0.6512,0.6222,0.4444,0.6667,0.5714,0.6977
0.0,0.2791,0.2927,0.3478,0.0,0.3256,0.2927,0.3556,0.1429,0.3404,0.3684,0.3684
0.5385,0.6087,0.5714,0.5909,0.5385,0.5909,0.6,0.5909,0.7097,0.5714,0.6486,0.5909
0.32,0.6154,0.5366,0.6667,0.32,0.6341,0.65,0.6667,0.4444,0.6222,0.4865,0.5455
0.5185,0.4651,0.4651,0.4783,0.2609,0.4762,0.5,0.4889,0.4667,0.5098,0.4889,0.4651
0.3571,0.625,0.5417,0.6222,0.3571,0.5455,0.5455,0.5957,0.4516,0.5,0.5581,0.5
0.3846,0.5116,0.5366,0.5238,0.4444,0.5405,0.5714,0.5,0.4667,0.5405,0.4118,0.5128
0.2308,0.5128,0.4444,0.5,0.2857,0.4615,0.4,0.4737,0.375,0.3784,0.3243,0.4651
0.4444,0.5217,0.5366,0.5306,0.4444,0.4783,0.5957,0.5217,0.6061,0.56,0.5833,0.5333
0.3077,0.439,0.5333,0.4324,0.3704,0.5,0.5789,0.4444,0.2963,0.5116,0.4667,0.5405
0.3077,0.5,0.4762,0.4762,0.3846,0.4651,0.4762,0.4762,0.3448,0.439,0.4571,0.45
0.5185,0.5455,0.4444,0.5833,0.4444,0.6222,0.6047,0.625,0.5517,0.5366,0.5778,0.5
0.6,0.5854,0.5854,0.5909,0.625,0.619,0.6341,0.5909,0.5882,0.619,0.6047,0.65
0.4286,0.4737,0.4737,0.4324,0.3571,0.4324,0.4118,0.4,0.4848,0.5366,0.5294,0.4615
0.5185,0.6818,0.65,0.6977,0.3846,0.7317,0.6842,0.6818,0.625,0.7692,0.7179,0.75
0.5161,0.6522,0.6122,0.6087,0.5625,0.6522,0.619,0.6364,0.6857,0.5333,0.619,0.6087
0.4138,0.5,0.439,0.4762,0.3571,0.5,0.4737,0.5,0.4138,0.5,0.4878,0.5
0.3846,0.5238,0.6486,0.4878,0.3846,0.5238,0.5405,0.5238,0.5333,0.5,0.5641,0.5238
0.4706,0.5385,0.52,0.5882,0.4,0.56,0.52,0.549,0.55,0.5957,0.5217,0.5833
0.1667,0.439,0.3902,0.381,0.24,0.3556,0.4286,0.3636,0.1481,0.2927,0.359,0.3684
0.4286,0.6,0.5714,0.5641,0.3077,0.5909,0.6154,0.5455,0.5333,0.4545,0.4103,0.3902
0.3077,0.6047,0.65,0.5641,0.0952,0.6154,0.5714,0.6154,0.5455,0.5333,0.5405,0.5143
0.2609,0.4118,0.4615,0.5556,0.2727,0.5263,0.4118,0.5128,0.3846,0.3529,0.4211,0.3333
0.5333,0.4,0.5238,0.4762,0.5333,0.4286,0.4878,0.5238,0.4848,0.5778,0.55,0.6222
0.48,0.5128,0.5789,0.5,0.48,0.5128,0.5294,0.5,0.6667,0.5128,0.5263,0.5405
0.4667,0.5106,0.4348,0.5,0.4828,0.4583,0.4783,0.4681,0.4865,0.5,0.5306,0.5714
0.4444,0.6222,0.6,0.6087,0.3846,0.6047,0.619,0.6087,0.5,0.5714,0.5405,0.45
0.4138,0.4286,0.4091,0.4186,0.3571,0.4762,0.439,0.4186,0.4,0.4186,0.4103,0.4103
0.3333,0.5714,0.5366,0.5366,0.1905,0.5455,0.5641,0.5455,0.5333,0.5909,0.5581,0.5641
0.3571,0.6087,0.6522,0.625,0.4375,0.6364,0.6522,0.5957,0.5455,0.5581,0.5106,0.5909
0.24,0.4,0.4211,0.4444,0.24,0.3684,0.4118,0.3529,0.2857,0.4286,0.4103,0.3
0.4286,0.6,0.5789,0.5581,0.4828,0.6,0.5641,0.5854,0.7059,0.6222,0.6522,0.5714
0.1818,0.4651,0.3684,0.4615,0.3333,0.5,0.3784,0.439,0.2222,0.5263,0.5,0.4615
0.4,0.6364,0.6809,0.6364,0.4667,0.6364,0.6818,0.6222,0.6667,0.6512,0.6818,0.6364
0.4,0.5789,0.5909,0.5946,0.4,0.5641,0.6154,0.6154,0.4828,0.4444,0.5143,0.4375
0.4,0.6111,0.5238,0.5581,0.4,0.5946,0.5789,0.5581,0.4667,0.4615,0.6061,0.3684
0.5882,0.6383,0.5909,0.6364,0.5,0.6667,0.7143,0.6522,0.6842,0.6047,0.5283,0.6222
0.5,0.6087,0.5417,0.6122,0.5517,0.6383,0.6364,0.5957,0.6111,0.5652,0.56,0.5714
0.4138,0.7111,0.5778,0.6512,0.4516,0.6977,0.55,0.619,0.5946,0.55,0.5333,0.6364
0.32,0.4545,0.3684,0.4545,0.3077,0.4651,0.4545,0.5,0.3448,0.4,0.4242,0.375
0.2759,0.4545,0.3158,0.3721,0.2667,0.3902,0.3333,0.3478,0.375,0.3889,0.4,0.4324
0.4444,0.5581,0.5854,0.5366,0.3333,0.6,0.5405,0.5714,0.5806,0.4737,0.5581,0.5581
0.4615,0.5116,0.6316,0.6047,0.4,0.5714,0.65,0.6047,0.5185,0.619,0.5128,0.6154
0.3571,0.4103,0.4186,0.4889,0.4138,0.4286,0.4103,0.4651,0.4516,0.439,0.4444,0.5116
0.5714,0.5854,0.5854,0.5581,0.2609,0.6,0.5854,0.5909,0.5333,0.6829,0.5957,0.6154
0.4667,0.52,0.5185,0.4727,0.4,0.5306,0.5417,0.4727,0.5,0.4151,0.5,0.4314
0.1739,0.5294,0.4848,0.4375,0.25,0.4375,0.4375,0.5294,0.4138,0.3529,0.5128,0.5
0.2143,0.4783,0.3556,0.4681,0.3871,0.5333,0.5,0.4783,0.4242,0.4231,0.4286,0.4583
0.4,0.5532,0.619,0.5581,0.5185,0.5778,0.6364,0.6047,0.6667,0.5778,0.5417,0.5854
0.2609,0.4681,0.3913,0.5217,0.25,0.5128,0.4286,0.5333,0.4444,0.5128,0.3636,0.4737
0.4286,0.5652,0.5455,0.55,0.3571,0.5854,0.5641,0.5789,0.5161,0.55,0.6047,0.4324
0.3846,0.5128,0.5789,0.5128,0.2727,0.5263,0.5946,0.5128,0.5517,0.5556,0.5143,0.55
0.6,0.4545,0.5405,0.5581,0.5185,0.5714,0.5789,0.5581,0.6667,0.5238,0.6,0.4615
0.2222,0.4783,0.4444,0.3913,0.2759,0.4348,0.3636,0.4167,0.3125,0.4,0.4651,0.3902
0.4848,0.5116,0.5714,0.5581,0.4848,0.5455,0.5714,0.5455,0.4444,0.5217,0.5581,0.5333
0.2308,0.5,0.5,0.4545,0.16,0.4878,0.5263,0.5,0.3448,0.4615,0.359,0.4615
0.4444,0.6154,0.4865,0.5128,0.3846,0.6154,0.5128,0.5641,0.4286,0.4737,0.375,0.4889
0.5333,0.4878,0.4545,0.5,0.5517,0.5,0.5128,0.4615,0.5333,0.5405,0.4615,0.5714
0.087,0.6364,0.6818,0.6809,0.4667,0.6809,0.6522,0.6522,0.4286,0.5909,0.6341,0.5714
0.32,0.6087,0.4103,0.5,0.3333,0.4651,0.55,0.5778,0.5161,0.5238,0.5366,0.5366
0.4615,0.5714,0.4898,0.549,0.4,0.5217,0.5217,0.5306,0.5143,0.5882,0.5417,0.5106
0.5,0.5366,0.5366,0.5,0.5185,0.4545,0.5116,0.5217,0.4516,0.55,0.4889,0.4615
0.4167,0.4324,0.5556,0.5143,0.4167,0.4571,0.5294,0.5,0.48,0.4848,0.35,0.5294
0.2308,0.5,0.3556,0.4255,0.2308,0.5,0.4255,0.4255,0.4242,0.5116,0.439,0.4615
0.5882,0.6531,0.6667,0.625,0.5882,0.6531,0.7083,0.625,0.6154,0.5417,0.6383,0.6087
0.3704,0.4737,0.5,0.5128,0.1667,0.4737,0.5143,0.5263,0.4516,0.5366,0.5366,0.4878
0.3478,0.6667,0.6486,0.6316,0.3333,0.6316,0.6154,0.6154,0.5517,0.5128,0.55,0.5128
0.3704,0.5833,0.5854,0.56,0.25,0.5833,0.6087,0.5714,0.4118,0.5238,0.6667,0.5714
0.3077,0.4706,0.4681,0.4898,0.2759,0.4783,0.4091,0.4681,0.4706,0.4889,0.449,0.4783
0.3077,0.5789,0.381,0.5128,0.2963,0.45,0.439,0.5,0.4667,0.55,0.449,0.5641
0.25,0.4762,0.4286,0.4545,0.3333,0.5333,0.5128,0.4444,0.3704,0.4762,0.4737,0.4878
0.2857,0.4545,0.4615,0.4186,0.2308,0.4651,0.4737,0.4444,0.375,0.45,0.5455,0.5532
0.4828,0.5581,0.55,0.6364,0.4286,0.5909,0.5455,0.6522,0.5,0.5581,0.5641,0.6
0.6,0.5366,0.6667,0.5366,0.6,0.5641,0.6316,0.5366,0.5806,0.5263,0.6047,0.5532
0.24,0.4762,0.439,0.5238,0.24,0.4615,0.4762,0.4737,0.4516,0.4615,0.55,0.5366
0.4828,0.5909,0.6047,0.5652,0.5185,0.6222,0.619,0.6087,0.5625,0.5217,0.5238,0.5333
0.5455,0.5714,0.5581,0.5909,0.4286,0.5778,0.6047,0.5778,0.5455,0.6,0.5909,0.5333
0.4286,0.439,0.4,0.4545,0.3704,0.439,0.3721,0.4545,0.4516,0.5263,0.4737,0.4865
0.5517,0.6222,0.5417,0.6222,0.4286,0.6512,0.6809,0.6087,0.5625,0.6364,0.6047,0.6809
0.3571,0.4,0.3636,0.359,0.3448,0.3415,0.4103,0.3415,0.4242,0.4865,0.3684,0.439
0.4667,0.6512,0.6512,0.6087,0.4667,0.6512,0.6222,0.6222,0.6111,0.6667,0.5909,0.5652
0.32,0.4,0.4231,0.4681,0.3077,0.4681,0.4,0.4255,0.3846,0.3922,0.4,0.4255
0.24,0.4103,0.5143,0.5,0.24,0.4186,0.5714,0.4762,0.3571,0.4324,0.4444,0.4444
0.2857,0.6667,0.5405,0.6061,0.1053,0.6667,0.6061,0.7059,0.5517,0.6857,0.5806,0.4828
0.3704,0.5217,0.4762,0.4783,0.3846,0.4889,0.5116,0.4889,0.3571,0.55,0.5556,0.5532
0.5517,0.5946,0.6,0.6286,0.5,0.6061,0.5946,0.5946,0.6,0.5946,0.6316,0.6486
0.2308,0.4255,0.4545,0.4889,0.24,0.4348,0.4286,0.4889,0.3448,0.4545,0.4615,0.5652
0.5789,0.6341,0.5909,0.5581,0.5294,0.5909,0.619,0.5909,0.5789,0.5714,0.5581,0.5854
0.25,0.3556,0.3404,0.4889,0.24,0.4444,0.4545,0.4348,0.25,0.4737,0.5128,0.4762
0.4444,0.439,0.4737,0.5455,0.25,0.4878,0.5128,0.5455,0.4444,0.45,0.4444,0.4186
0.3571,0.4242,0.4103,0.45,0.2963,0.4324,0.3636,0.4324,0.3571,0.4103,0.439,0.3902
0.56,0.6222,0.5909,0.6667,0.5,0.6047,0.6341,0.65,0.7059,0.6829,0.6341,0.5778
0.2308,0.5714,0.5789,0.5116,0.1739,0.6364,0.6,0.5238,0.4516,0.4889,0.4762,0.5116
0.5714,0.6383,0.6809,0.6,0.5185,0.6,0.6667,0.6122,0.5625,0.5833,0.6531,0.6087
0.4516,0.549,0.5778,0.5098,0.3704,0.56,0.5909,0.5417,0.5405,0.5098,0.5116,0.549
0.2609,0.4737,0.4324,0.4103,0.25,0.3429,0.3529,0.4103,0.3333,0.3784,0.3636,0.3429
0.4286,0.5714,0.5789,0.5238,0.4286,0.5366,0.55,0.5581,0.5,0.5128,0.5556,0.5854
0.3077,0.4444,0.4681,0.383,0.2308,0.4444,0.4783,0.4545,0.3226,0.4545,0.4,0.45
0.3846,0.7619,0.7143,0.7619,0.3846,0.7442,0.7778,0.7619,0.6,0.6222,0.7179,0.6222
0.5333,0.5306,0.5532,0.5306,0.4828,0.5217,0.5532,0.5532,0.5294,0.5333,0.5532,0.5778
0.25,0.5366,0.439,0.4118,0.3333,0.4865,0.5238,0.4242,0.5,0.4706,0.4324,0.3158
0.2727,0.5366,0.4,0.5,0.3478,0.5,0.4286,0.4878,0.3448,0.5366,0.5,0.6341
0.4667,0.5641,0.5405,0.6047,0.5,0.5641,0.55,0.5714,0.5,0.5366,0.6154,0.5714
0.4138,0.5714,0.5714,0.6222,0.4286,0.65,0.6154,0.6047,0.4848,0.6,0.65,0.6667
0.3077,0.5,0.3902,0.5238,0.32,0.4615,0.45,0.5366,0.2308,0.5128,0.5405,0.5854
0.4516,0.6383,0.5833,0.5778,0.4516,0.6222,0.5581,0.6222,0.5455,0.4103,0.56,0.5116
0.48,0.6154,0.6154,0.5714,0.48,0.5854,0.55,0.5366,0.5333,0.6,0.4444,0.5641
0.4286,0.55,0.5909,0.5238,0.3846,0.5714,0.45,0.5238,0.5625,0.5116,0.5238,0.4762
0.4828,0.5778,0.5854,0.5854,0.3704,0.6,0.5714,0.5714,0.5882,0.4865,0.4878,0.4865
0.3571,0.4348,0.4783,0.4444,0.2963,0.4444,0.4651,0.4348,0.4571,0.3684,0.45,0.381
0.3704,0.4762,0.4,0.439,0.3704,0.5263,0.4615,0.4878,0.4375,0.381,0.381,0.3684
0.2609,0.45,0.4286,0.55,0.25,0.5,0.4737,0.5263,0.4828,0.4211,0.3256,0.4211
0.3846,0.5417,0.5909,0.5714,0.4444,0.6512,0.6047,0.5778,0.6061,0.5909,0.5957,0.5714
0.5333,0.6939,0.6818,0.6087,0.4286,0.6,0.6341,0.5455,0.5882,0.6667,0.6829,0.6512
0.5185,0.5652,0.5652,0.5778,0.48,0.5333,0.6222,0.5909,0.5455,0.4889,0.5217,0.5106
0.4444,0.5366,0.5333,0.5714,0.3333,0.5581,0.5714,0.5854,0.4444,0.55,0.5714,0.6341
0.5185,0.5581,0.5238,0.5,0.4167,0.4737,0.4186,0.5238,0.5,0.5366,0.4651,0.5366
0.3125,0.4706,0.52,0.5417,0.3125,0.5714,0.5306,0.5417,0.5366,0.4898,0.6122,0.44
0.1481,0.3,0.2857,0.3556,0.1481,0.35,0.3,0.3556,0.3871,0.3721,0.359,0.4
0.32,0.5909,0.5263,0.6364,0.32,0.619,0.5333,0.6512,0.5517,0.5128,0.5455,0.5263
0.4,0.5641,0.55,0.5714,0.3448,0.5641,0.5,0.5641,0.5294,0.6154,0.4737,0.5366
0.3704,0.4783,0.45,0.439,0.32,0.4783,0.4615,0.4091,0.5,0.45,0.5128,0.4762
