ns,nd,nf,entropy,la,ld,lt,fix,NEDV,AGE,NUC,EXP,REXP,SEXP,bug_introducing
1,1,1,0,48,12,291,1,2,76232,5,509,3,485,1
1,1,1,0,1,1,327,0,2,138,6,510,4,486,1
1,1,1,0,0,15,223,0,3,9707,9,511,4.5,487,0
1,1,1,0,1,1,476,1,5,8300,30,512,5.5,488,1
1,1,1,0,19,8,89,1,4,49699,7,407,1.33333,259,0
1,1,1,0,3,6,442,1,3,70637,6,408,1,260,0
1,1,1,0,11,10,311,0,3,70705,24,409,3.83333,261,0
1,1,1,0,19,19,439,0,3,421,7,49,1,49,0
1,1,1,0,2,2,262,1,2,44631,3,57,1,57,0
1,1,1,0,2,2,262,0,2,242,4,58,2,58,0
1,1,1,0,13,8,476,1,5,63642,31,410,8.66667,262,1
1,1,1,0,15,10,481,1,5,7443,32,411,9.66667,263,1
1,1,14,0.617212,135,0,0,0,1,0,1,23,0,23,1
1,1,14,0.617212,378,0,0,0,1,0,1,23,0,23,1
1,1,14,0.617212,6,2,166,0,2,2532,4,23,1,23,1
1,1,14,0.617212,202,231,327,0,4,28038,8,23,3,23,1
1,1,14,0.617212,2,2,173,0,6,20843,18,23,0,23,0
1,1,14,0.617212,3,22,111,0,2,29933,4,23,2,23,0
1,1,14,0.617212,68,0,-1,0,1,0,1,23,0,23,1
1,1,14,0.617212,1,1,27,0,1,2532,2,23,1,23,0
1,1,14,0.617212,5,0,189,0,4,11475,8,23,1,23,0
1,1,1,0,1,1,187,0,5,45346,6,50,0,50,0
1,1,1,0,1,1,52,1,4,83653,6,412,1,264,0
1,1,1,0,27,5,1065,0,2,19638,11,237,8,104,1
1,1,4,0.918579,8,1,378,1,1,85575,2,32,1,32,0
1,1,4,0.918579,41,3,170,1,2,85575,5,32,2,32,1
1,1,4,0.918579,34,3,298,1,4,85575,9,32,4,32,1
1,1,4,0.918579,35,2,194,1,4,85575,9,32,2,32,1
1,1,2,0.619382,2,2,136,1,4,16762,16,413,2.33333,265,0
1,1,2,0.619382,11,11,263,1,4,16172,11,413,3.16667,265,1
1,1,5,0.971406,14,9,131,1,1,32238,2,238,1,133,0
1,1,5,0.971406,18,13,230,1,1,32238,2,238,1,133,0
1,1,5,0.971406,9,6,163,1,1,32238,2,238,1,133,0
1,1,5,0.971406,11,9,176,1,1,32238,2,238,1,133,0
1,1,5,0.971406,20,16,290,1,1,32238,2,238,1,133,0
1,1,3,1,1,1,40,1,1,8979,2,243,1,138,0
1,1,3,1,1,1,113,1,1,8979,2,243,1,138,0
1,1,3,1,1,1,49,1,2,39613,3,243,1,138,0
1,1,1,0,34,22,79,0,5,19919,7,513,2,489,1
1,1,1,0,3,1,575,1,6,57311,31,514,7.83333,490,1
1,1,3,0.850864,1,1,149,1,4,17235,12,246,1,105,0
1,1,3,0.850864,5,5,201,1,4,37688,13,246,0,105,0
1,1,3,0.850864,5,5,199,1,5,26414,8,246,1,105,0
1,1,1,0,4,0,133,0,3,57601,5,249,1,108,0
1,1,1,0,4,0,577,0,6,74229,32,51,3,51,1
1,5,12,0.95003,0,1,136,0,4,35681,17,415,3.33333,267,0
1,5,12,0.95003,0,1,1159,0,3,29197,5,415,0,267,0
1,5,12,0.95003,0,2,236,0,4,27054,6,415,1,267,0
1,5,12,0.95003,1,1,346,0,5,72221,12,415,0.5,267,0
1,5,12,0.95003,0,1,67,0,3,27054,4,415,0,267,0
1,5,12,0.95003,0,1,413,0,7,63258,23,415,3.5,267,0
1,5,12,0.95003,0,1,68,0,2,37938,3,415,0,267,0
1,5,12,0.95003,0,2,54,0,2,37938,3,415,0,267,0
1,5,12,0.95003,0,1,92,0,3,46540,5,415,1.5,267,0
1,5,12,0.95003,0,4,67,0,2,26014,2,415,0,267,0
1,5,12,0.95003,0,1,327,0,2,38420,7,415,1,267,0
1,5,12,0.95003,0,2,105,0,2,60669,3,415,1,267,0
1,1,1,0,1,1,234,1,4,29823,7,427,2,279,0
1,1,1,0,4,4,205,1,4,55167,7,428,0.333333,280,1
1,1,2,0.887976,30,20,385,1,2,72844,3,515,0,491,1
1,1,2,0.887976,16,6,329,1,4,72844,10,515,2,491,1
1,1,1,0,1,1,125,0,4,58949,10,52,0,52,0
1,1,4,0.784697,5,11,39,1,2,16550,3,3,1,3,0
1,1,4,0.784697,30,16,430,1,2,72316,2,3,0,3,1
1,1,4,0.784697,13,9,57,1,2,72316,2,3,0,3,0
1,1,4,0.784697,120,0,0,1,1,0,1,3,0,3,1
1,1,1,0,1,0,1158,1,3,62063,6,250,3,109,0
1,1,1,0,1,1,733,0,3,18326,6,0,0,0,0
1,1,1,0,4,4,79,1,3,30252,4,1,0,1,0
1,1,5,0.874423,17,8,49,1,3,82877,3,2,0,2,0
1,1,5,0.874423,4,3,73,1,3,82877,3,2,0,2,0
1,1,5,0.874423,4,3,83,1,3,82877,3,2,0,2,0
1,1,5,0.874423,2,2,157,1,4,82877,4,2,0,2,0
1,1,5,0.874423,6,9,86,1,3,82877,3,2,0,2,0
1,1,1,0,1,1,74,0,3,226,4,7,1,7,0
1,2,2,0.836641,6,5,176,0,3,7455,6,8,0,0,1
1,2,2,0.836641,2,2,189,0,3,7455,5,8,0,0,0
1,1,1,0,7,4,191,0,2,8359,6,10,0,2,0
1,1,1,0,1,1,177,1,3,2108,7,11,1,3,0
1,1,1,0,2,0,593,0,7,10436,33,12,0,8,1
1,1,1,0,0,2,178,0,1,18223,3,251,2,141,0
1,1,1,0,1,2,395,0,1,85344,7,252,5.33333,142,0
1,1,1,0,5,5,60,0,2,70028,4,253,0,143,1
1,1,1,0,5,4,581,0,7,35658,33,13,0,9,0
1,1,1,0,12,3,582,0,7,66071,34,53,4,53,1
1,2,2,0.954434,8,1,84,0,3,77812,4,14,1,10,0
1,2,2,0.954434,9,6,733,0,3,78806,7,14,1,10,0
1,1,1,0,3,3,105,0,3,76872,11,16,0,12,0
1,1,8,0.929685,4,4,208,0,4,1162,10,17,0,13,0
1,1,8,0.929685,3,3,119,0,4,10869,5,17,0,13,0
1,1,8,0.929685,1,4,208,0,3,77251,6,17,0,13,0
1,1,8,0.929685,1,1,91,0,4,50412,6,17,0,13,0
1,1,8,0.929685,1,1,70,0,3,77466,4,17,0,13,1
1,1,8,0.929685,1,1,153,0,6,10869,15,17,0,13,0
1,1,8,0.929685,1,1,67,0,5,77466,7,17,0,13,0
1,1,8,0.929685,2,2,125,0,5,18517,11,17,0,13,0
1,1,1,0,0,2,205,0,5,23837,8,25,0,21,0
1,1,1,0,1,1,221,1,2,2104,2,26,0,22,0
1,1,5,0.772779,2,3,439,0,4,28422,8,27,0,23,1
1,1,5,0.772779,0,2,282,0,3,79342,5,27,0,23,0
1,1,5,0.772779,7,9,412,0,8,52288,24,27,0,23,1
1,1,5,0.772779,1,2,201,0,5,74063,14,27,0,23,0
1,1,5,0.772779,1,1,199,0,6,74063,9,27,0,23,0
1,1,2,0.764205,3,4,234,1,5,74038,8,32,0,28,1
1,1,2,0.764205,1,1,595,1,7,55776,34,32,1,28,0
1,1,3,0.673588,8,9,486,0,6,70376,33,34,0,30,0
1,1,3,0.673588,1,1,168,0,4,45082,5,34,0,30,0
1,1,3,0.673588,2,2,194,0,7,81462,16,34,0,30,1
1,1,2,1,7,3,591,0,7,2649,35,54,5,54,0
1,1,2,1,2,8,438,0,5,63118,12,54,3,54,1
1,1,1,0,1,4,233,0,5,10696,9,37,1,33,0
1,1,1,0,6,4,263,1,5,81507,12,38,0,34,0
1,1,1,0,28,16,240,0,6,42392,15,39,0,35,0
1,1,3,0.85673,48,14,595,0,7,16382,36,56,6,56,1
1,1,3,0.85673,5,9,432,0,5,16382,13,56,4,56,1
1,1,3,0.85673,24,7,410,0,8,74886,25,56,3,56,1
1,1,1,0,4,3,629,0,7,4833,37,40,1,36,1
1,1,2,0.714015,28,13,444,0,2,5390,3,7,1,7,0
1,1,2,0.714015,9,1,71,0,2,8797,3,7,0,7,0
1,1,1,0,0,1,192,0,4,3802,9,41,0,37,0
1,1,2,0.911752,32,3,36,0,4,71215,5,42,0,38,1
1,1,2,0.911752,11,6,136,0,4,4301,7,42,0,38,1
1,1,1,0,6,5,229,1,4,75989,4,44,0,40,0
1,1,2,1,1,1,81,0,4,76463,8,45,0,41,0
1,1,2,1,1,1,40,0,4,76463,6,45,0,41,0
1,1,2,0.181813,3,3,259,0,4,44790,8,47,0,43,0
1,1,2,0.181813,16,196,808,0,4,44790,6,47,0,43,0
1,1,1,0,3,2,628,0,4,10808,7,49,1,45,0
1,1,1,0,0,1,428,0,6,64050,14,50,0,46,0
1,1,1,0,2,2,304,1,5,46169,13,51,0,47,0
1,1,2,1,33,33,259,0,4,1969,9,52,1,48,0
1,1,2,1,33,33,629,0,4,77561,8,52,2,48,0
1,1,1,0,1,1,595,1,7,34768,35,429,6.66667,281,0
1,1,1,0,1,1,208,0,4,55329,11,54,1,50,0
1,2,10,0.876737,135,0,0,0,1,0,1,55,0,4,1
1,2,10,0.876737,119,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,265,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,111,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,259,0,0,0,1,0,1,55,0,4,1
1,2,10,0.876737,279,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,58,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,60,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,77,0,0,0,1,0,1,55,0,4,0
1,2,10,0.876737,629,0,0,0,1,0,1,55,0,4,0
1,1,1,0,109,0,0,0,1,0,1,65,0,51,1
1,4,5,0.975106,1,1,177,0,3,7837,8,66,2,14,0
1,4,5,0.975106,1,1,189,0,3,9945,6,66,1,14,0
1,4,5,0.975106,1,0,135,0,1,733,2,66,1,14,0
1,4,5,0.975106,1,1,194,0,2,9041,7,66,1,14,0
1,1,1,0,2,2,427,1,8,55053,26,59,4,59,0
1,1,1,0,4,4,252,1,6,82056,16,430,1.66667,282,0
1,2,5,0.610552,1,1,230,1,5,23428,10,431,3,283,1
1,2,5,0.610552,0,2,203,1,5,86035,9,431,1.33333,283,0
1,2,5,0.610552,30,12,72,1,3,78639,6,431,0,283,1
1,2,5,0.610552,29,1,125,1,5,1173,12,431,0.5,283,0
1,2,5,0.610552,1,1,50,1,2,78639,4,431,0,283,0
1,1,2,0.924134,29,8,221,1,3,196,3,436,0,288,0
1,1,2,0.924134,19,0,301,1,2,2300,2,436,0,288,0
1,1,1,0,1,1,48,0,3,79804,3,438,0,290,0
1,1,1,0,1,1,230,1,5,1237,11,70,2,52,0
1,1,2,0.934068,14,14,194,0,2,3108,8,71,2,18,0
1,1,2,0.934068,26,26,746,0,2,2400,3,71,0,18,0
1,1,1,0,11,11,406,0,3,21834,4,73,0,20,0
1,1,1,0,4,5,406,0,3,43163,5,74,1,21,0
1,1,1,0,3,5,282,1,2,49400,4,254,2,144,0
1,1,2,0.276195,1,1,127,0,3,81469,7,75,0,22,1
1,1,2,0.276195,20,20,1075,0,3,63361,4,75,0,22,1
1,1,1,0,88,0,137,0,3,1174,5,439,0.666667,291,1
1,1,1,0,1,1,230,1,4,57701,5,77,1,53,0
1,1,1,0,3,1,201,0,5,55648,10,78,1,54,0
1,1,1,0,10,10,230,0,5,9294,12,79,3,55,0
1,1,1,0,11,7,230,0,4,2697,6,80,2,56,1
1,1,2,0.936975,101,7,53,0,4,76865,7,81,0,57,1
1,1,2,0.936975,37,22,312,0,4,25963,25,81,0,57,1
1,1,4,1,1,1,89,0,6,77560,12,83,0,59,0
1,1,4,1,1,1,241,0,4,77560,13,83,0,59,0
1,1,4,1,1,1,82,0,6,77560,10,83,0,59,0
1,1,4,1,1,1,154,0,6,77560,13,83,0,59,0
1,1,2,1,9,8,225,0,4,81756,6,87,0,63,0
1,1,2,1,12,5,1087,0,3,15346,12,87,0,63,0
1,1,1,0,1,1,147,0,4,6346,8,89,1,65,1
1,1,1,0,1,1,147,0,4,58498,9,90,2,66,0
1,1,1,0,136,3,252,0,6,1349,17,91,1,67,1
1,1,1,0,6,6,385,0,6,200,18,92,2,68,1
1,1,1,0,10,3,79,0,4,76565,8,93,0,69,0
1,1,1,0,62,22,385,1,6,85406,19,94,3,70,1
1,1,1,0,1,1,425,0,6,105,20,95,4,71,0
1,1,1,0,0,0,425,0,6,71,21,96,5,72,0
1,1,1,0,20,8,425,0,6,5783,22,97,6,73,0
1,1,1,0,16,17,91,0,3,10888,5,98,2,74,0
1,1,1,0,2,2,736,1,3,63656,8,60,4,60,0
1,1,1,0,11,12,74,0,3,84604,5,99,2,75,0
1,1,1,0,4,8,73,0,3,643,6,100,3,76,0
1,1,1,0,11,3,79,0,3,86292,5,101,1,77,0
1,2,2,0.738285,19,0,1094,1,3,84125,13,102,1,78,0
1,2,2,0.738285,3,2,170,1,5,80655,12,102,0,78,1
1,1,2,0.422001,11,10,100,0,5,31863,8,104,0,80,0
1,1,2,0.422001,224,0,0,0,1,0,1,104,0,80,1
1,1,2,0.811278,5,4,69,0,3,840,7,106,4,82,0
1,1,2,0.811278,2,1,90,0,3,84013,6,106,3,82,0
1,1,1,0,32,31,216,0,4,19548,8,108,0,84,1
1,1,1,0,8,0,217,1,4,251,9,109,1,85,0
1,1,1,0,0,3,119,1,4,56871,6,61,1,61,0
1,1,3,0.403891,4,4,736,0,3,30385,9,110,2,86,0
1,1,3,0.403891,23,21,78,0,3,10565,3,110,0,86,0
1,1,3,0.403891,184,162,1605,0,3,10565,3,110,0,86,0
1,1,2,0.811278,11,4,145,1,7,30063,17,113,0,89,0
1,1,2,0.811278,2,3,171,1,5,3411,13,113,1,89,0
1,1,1,0,23,23,485,0,6,24407,34,115,1,91,1
1,1,1,0,2,2,1113,1,4,58773,14,62,0,62,0
1,1,1,0,23,16,1113,0,4,5687,15,63,1,63,0
1,1,1,0,0,0,147,0,5,78936,7,116,0,92,0
1,1,1,0,33,4,147,0,4,83166,10,117,3,93,0
1,2,5,0.758896,34,24,1120,0,4,81513,16,64,2,64,1
1,2,5,0.758896,15,17,80,0,2,42822,2,64,0,64,1
1,2,5,0.758896,132,116,1038,0,3,12768,4,64,0,64,1
1,2,5,0.758896,25,5,65,0,5,69013,6,64,0,64,1
1,2,5,0.758896,45,4,141,0,5,69013,8,64,0,64,1
1,1,5,0.705478,2,2,51,0,4,58846,7,69,0,69,1
1,1,5,0.705478,31,2,241,0,4,47883,14,69,1,69,1
1,1,5,0.705478,41,7,257,0,5,39043,16,69,0,69,1
1,1,5,0.705478,3,2,153,0,6,47977,16,69,2,69,1
1,1,5,0.705478,2,2,67,0,6,47977,8,69,0,69,1
1,2,4,0.907272,55,10,215,1,5,70939,20,74,3,74,1
1,2,4,0.907272,38,4,437,1,6,52756,23,74,1,74,1
1,2,4,0.907272,10,2,86,1,5,60371,9,74,0,74,0
1,2,4,0.907272,25,13,70,1,4,50536,4,74,0,74,0
1,1,1,0,3,0,1130,0,4,85931,17,78,3,78,0
1,1,1,0,19,2,85,0,5,21526,7,118,1,94,0
1,1,2,1,0,1,270,0,4,41410,15,119,1,95,0
1,1,2,1,0,1,291,0,6,41410,17,119,0,95,0
1,1,1,0,62,12,83,0,3,83261,4,517,1,493,1
1,3,18,0.720251,17,10,230,0,5,77960,13,518,2,494,0
1,3,18,0.720251,3,3,234,0,4,30743,7,518,1,494,0
1,3,18,0.720251,6,6,203,0,5,32843,11,518,3,494,0
1,3,18,0.720251,5,5,94,0,5,30194,10,518,2,494,1
1,3,18,0.720251,2,2,630,0,7,8069,38,518,8,494,0
1,3,18,0.720251,3,3,131,0,4,43218,6,518,1,494,0
1,3,18,0.720251,9,9,427,0,8,44249,27,518,7.33333,494,1
1,3,18,0.720251,5,5,200,0,5,1388,15,518,7.33333,494,1
1,3,18,0.720251,4,4,199,0,4,26739,8,518,3,494,0
1,3,18,0.720251,3,3,80,0,3,25630,9,518,4.66667,494,0
1,3,18,0.720251,7,2,199,0,6,1388,10,518,3,494,1
1,3,18,0.720251,8,8,242,0,3,1221,4,518,1,494,1
1,3,18,0.720251,109,0,0,0,1,0,1,518,0,494,1
1,3,18,0.720251,11,2,82,0,3,80730,7,518,2,494,1
1,3,18,0.720251,23,3,485,0,6,11241,35,518,5.66667,494,1
1,3,18,0.720251,16,94,234,0,1,0,1,518,0,494,0
1,3,18,0.720251,3,207,234,0,3,80730,5,518,1.33333,494,0
1,3,18,0.720251,2,2,136,0,3,80730,5,518,1,494,0
1,1,1,0,0,12,1075,0,3,16719,5,121,1,24,0
1,1,1,0,1,1,91,1,4,79311,8,122,0,97,0
1,1,1,0,0,2,30,0,4,79344,6,123,0,98,0
1,1,1,0,7,5,269,1,4,79934,16,124,2,99,0
1,1,1,0,2,2,271,0,4,180,17,125,3,100,0
1,1,1,0,3,0,339,0,5,83731,11,126,0,101,0
1,1,2,0.900903,32,0,0,0,1,0,1,536,0,512,1
1,1,2,0.900903,69,0,0,0,1,0,1,536,0,512,1
1,1,1,0,111,0,0,0,5,82512,12,127,1,102,0
1,1,1,0,8,0,173,0,6,64653,19,538,6.16667,514,1
1,1,3,0.944601,41,1,208,0,4,22478,12,539,5.5,515,1
1,1,3,0.944601,17,0,90,0,3,76634,7,539,3,515,0
1,1,3,0.944601,33,0,153,0,5,76634,13,539,4.83333,515,1
1,1,2,0.881291,7,0,304,0,5,24051,14,542,4.83333,518,0
1,1,2,0.881291,2,1,186,0,5,1347,14,542,5.83333,518,0
1,2,7,0.785826,32,0,0,0,1,0,1,544,0,520,0
1,2,7,0.785826,28,0,0,0,1,0,1,544,0,520,0
1,2,7,0.785826,2,2,69,0,1,1082,2,544,1,520,0
1,2,7,0.785826,11,16,595,0,7,78177,36,544,9.33333,520,0
1,2,7,0.785826,2,2,630,0,7,76730,39,544,9,520,0
1,2,7,0.785826,57,30,427,0,8,76730,28,544,8.33333,520,1
1,2,7,0.785826,5,5,200,0,5,76730,16,544,8.33333,520,1
1,1,1,0,1,0,395,0,2,77818,4,551,1,527,0
1,1,1,0,2,3,191,0,4,80224,10,552,1,528,0
1,1,1,0,0,4,181,1,6,85904,20,553,7.08333,529,0
1,3,19,0.704778,2,2,237,0,5,75735,14,554,3,530,0
1,3,19,0.704778,5,5,234,0,4,75735,8,554,2,530,0
1,3,19,0.704778,5,5,346,0,5,43011,13,554,5.16667,530,0
1,3,19,0.704778,3,3,203,0,5,75735,12,554,4,530,0
1,3,19,0.704778,5,5,83,0,4,19529,5,554,1,530,0
1,3,19,0.704778,2,2,630,0,7,85405,40,554,9.91667,530,0
1,3,19,0.704778,2,2,131,0,4,75735,7,554,2,530,0
1,3,19,0.704778,6,6,427,0,6,24587,15,554,4,530,1
1,3,19,0.704778,2,2,454,0,8,85405,29,554,9.25,530,0
1,3,19,0.704778,3,3,146,0,4,16074,7,554,2,530,1
1,3,19,0.704778,5,5,320,0,2,76956,3,554,1,530,0
1,3,19,0.704778,1,1,109,0,1,75735,2,554,1,530,0
1,3,19,0.704778,87,0,0,0,1,0,1,554,0,530,1
1,3,19,0.704778,10,2,91,0,4,82824,9,554,2.91667,530,0
1,3,19,0.704778,7,7,156,0,1,75735,2,554,1,530,0
1,3,19,0.704778,15,45,168,0,1,0,1,554,0,530,0
1,3,19,0.704778,3,147,168,0,4,24983,6,554,1.33333,530,0
1,3,19,0.704778,2,2,107,0,1,70065,3,554,2,530,0
1,3,19,0.704778,2,2,136,0,3,75735,6,554,2,530,0
1,1,6,0.732779,2,2,87,0,1,8974,2,573,1,549,0
1,1,6,0.732779,20,39,505,0,6,84709,36,573,6.58333,549,1
1,1,6,0.732779,9,9,138,0,1,8974,2,573,1,549,0
1,1,6,0.732779,7,7,194,0,7,33957,17,573,3.75,549,1
1,1,6,0.732779,8,2,57,0,1,79039,3,573,2,549,0
1,1,6,0.732779,1,1,107,0,1,8974,4,573,3,549,0
1,1,1,0,90,0,0,0,1,0,1,579,0,555,1
1,1,1,0,13,16,90,1,1,948,2,580,1,556,1
1,1,1,0,1,1,396,0,3,80652,5,79,0,79,1
1,1,2,0.77935,4,6,342,1,6,74865,12,80,0,80,0
1,1,2,0.77935,2,1,63,1,3,31801,3,80,0,80,0
1,1,1,0,4,6,339,1,4,7874,11,581,3,557,0
1,2,3,0.996311,54,19,471,0,6,85805,24,82,2,82,1
1,2,3,0.996311,55,4,94,0,5,55611,11,82,1,82,0
1,2,3,0.996311,60,3,83,0,4,66276,6,82,1,82,0
1,1,1,0,3,3,140,0,4,3389,7,85,2,85,0
1,1,1,0,3,0,337,1,5,77367,12,128,0,103,0
1,1,1,0,1,1,395,1,3,280,4,129,0,104,0
1,1,1,0,1,1,63,1,3,46875,3,130,0,105,0
1,1,1,0,2,1,177,0,7,14303,21,131,0,106,0
1,1,8,0.78369,2,2,51,0,4,59925,7,86,0,86,0
1,1,8,0.78369,70,4,36,0,4,40122,5,86,0,86,0
